urn,alma_iz_id,alma_nz_id,alma_representation_id,url,title
URN:NBN:no-69132,999920008633702204,,12219582440002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008633702204,"Brev 1. august 1836, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69133,999920008633502204,,12219582400002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008633502204,"Brev 16. februar 1834, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69134,999920008633202204,,12219582360002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008633202204,"Brev 19. august 1835, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69135,999920008633002204,,12219582120002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008633002204,"Brev 8. juni 1836, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69136,999920008632902204,,12219582080002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008632902204,"Brev 14. november 1836, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69137,999920008632802204,,12219582020002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008632802204,"Brev 24. april 1837, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69138,999920008632702204,,12219581960002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008632702204,"Brev 23. oktober 1837, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69139,999920008662302204,,12219644080002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008662302204,"Brev 12. oktober 1835, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69140,999920008661902204,,12219644060002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008661902204,"Brev 25. juni 1838, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69141,999920008661302204,,12219644040002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008661302204,"Brev 15. april 1839, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69142,999920008660002204,,12219644240002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008660002204,"Brev 21. januar 1840, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69143,999920008659702204,,12219644220002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008659702204,"Brev 8. oktober 1840, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69144,999920008659302204,,12219644200002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008659302204,"Brev 29. mai 1840, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69145,999920008659002204,,12219644180002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008659002204,"Brev 5. juni 1840, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69146,999920008658502204,,12219644160002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008658502204,"Brev 12. juni 1840, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69147,999920008658102204,,12219644140002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008658102204,"Brev 28. mars 1841, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69148,999920008657602204,,12219644120002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008657602204,"Brev 12. februar 1842, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69149,999920008657302204,,12219644100002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008657302204,"Brev 1. mars 1844, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69150,999920008656702204,,12219644020002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008656702204,"Brev 3. februar 1844, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69151,999920008656302204,,12219644000002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008656302204,"Brev 5. desember 1844, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69152,999920008655602204,,12219643980002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008655602204,"Brev 4. juli 1849, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69153,999920008655202204,,12219643960002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008655202204,"Brev 23. januar 1854, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69154,999920008654802204,,12219644260002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008654802204,"Brev 6. mai 1854, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69155,999920008654302204,,12219643360002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008654302204,"Brev 10. mars 1854, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69156,999920008654102204,,12219643340002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008654102204,"Brev 15. november 1854, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69157,999920008653302204,,12219643320002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008653302204,"Brev 12. mars 1856, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69158,999920008652802204,,12219643300002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008652802204,"Brev 30. juli 1856, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69159,999920008652202204,,12219643280002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008652202204,"Brev 3. oktober 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69160,999920008651502204,,12219643940002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008651502204,"Brev 2. oktober 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69161,999920008650902204,,12219643920002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008650902204,"Brev 13. juli 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69162,999920008649602204,,12219643900002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008649602204,"Brev 4. juli 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69163,999920008649002204,,12219643880002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008649002204,"Brev 30. april 1859, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69164,999920008648602204,,12219643860002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008648602204,"Brev 6. oktober 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69165,999920008648102204,,12219643840002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008648102204,"Brev 29. oktober 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69166,999920008647302204,,12219643820002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008647302204,"Brev 9. november 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69167,999920008646802204,,12219643800002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008646802204,"Brev 10. november 1857, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69168,999920008646202204,,12219643780002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008646202204,"Brev 23. november 1857, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69169,999920008645602204,,12219643760002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008645602204,"Brev 19. april 1859, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69170,999920008645002204,,12219643740002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008645002204,"Brev 7. januar 1860, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69171,999920008644302204,,12219643720002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008644302204,"Brev 6. mai 1863, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69172,999920008643802204,,12219643700002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008643802204,"Brev 24. juni 1863, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69173,999920008643402204,,12219643680002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008643402204,"Brev 22. oktober 1863, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69174,999920008642902204,,12219643660002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008642902204,"Brev 15. november 1864, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69175,999920008642302204,,12219643640002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008642302204,"Brev 22. oktober 1864, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69176,999920008641802204,,12219643620002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008641802204,"Brev 9. juni 1865, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69177,999920008641202204,,12219643600002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008641202204,"Brev 19. april 1866, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69178,999920008640802204,,12219643580002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008640802204,"Brev 15. juli 1813, Drammen, [til] Hansteen, Christopher [fra] Smith, Chr."
URN:NBN:no-69179,999920008640302204,,12219643560002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008640302204,"Brev 14. januar 1859, Philadelphia, [til] Hansteen, Christopher [fra] Sharswood, William"
URN:NBN:no-69180,999920008639802204,,12219643540002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008639802204,"Brev 13. januar 1850, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69181,999920008639502204,,12219643520002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008639502204,"Brev 12. april 1850, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69182,999920008639302204,,12219643500002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008639302204,"Brev 21. mai 1850, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69183,999920008638802204,,12219643480002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008638802204,"Brev 6. september 1850, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69184,999920008638202204,,12219643460002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008638202204,"Brev 4. april 1851, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69185,999920008637702204,,12219643440002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008637702204,"Brev 19. juli 1852, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69186,999920008637202204,,12219643420002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008637202204,"Brev 3. mai 1853, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69187,999920008636802204,,12219643400002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008636802204,"Brev 21. april 1853, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69188,999920008636002204,,12219643380002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008636002204,"Brev 4. juni 1853, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69189,999920008662402204,,12219668220002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008662402204,"Brev 25. juni 1853, Bonn, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69190,999920008661502204,,12219668160002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008661502204,"Brev 14. april 1853, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69191,999920008660902204,,12219668140002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008660902204,"Brev 9. november 1853, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69192,999920008660202204,,12219668120002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008660202204,"Brev 21. mai 1854, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
URN:NBN:no-69193,999920008658902204,,12219669080002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008658902204,"Brev 29. august 1855, Pulkova, [til] Hansteen, Christopher [fra] Struve, W."
